original_comment,cleaned_comment,tokens,tokens_without_stopwords,stemmed_tokens,lemmatized_tokens
проду будь ласка,,,,,
Супер хочу і собі такого,,,,,
"Ти в одній і тій же кофті ходив і чекав коли він ""типу"" тобі зателефонує?)))

Технічні несправності  вирішується топливом і поліроллю 😅",,,,,
"В тебе голос, як в 10-літнього хлопця, який веде діалог😂",,,,,
Машинка черепашок-ніндзя! Успіхів у проєкті!,,,,,
тест перекуп 80 уровня пройден😅,,,,,
2,,,,,
Давайте ще такі відоси просто имба мені подобається така тема,,,,,
Бус крутий клас,,,,,
Головна аудиторія відео це точно ТЦК😅,,,,,
"11:30 боже, назвати калюжу невеликою річкою, ну це мистецтво звісно",,,,,
"ДУЖЕ крутий проєкт, про який я дуже давно сам мріяв. Зичу якнайшвидшого та крутого завершення з цим бусом. З нетерміння буду чекати на наступні випуски))",,,,,
топ бус😊,,,,,
вай),,,,,
Бусан бомба,,,,,
Цікаво через що проектуєте 3dmax чи pro100?,dmax pro,"dmax, pro","dmax, pro","dmax, pro","dmax, pro"
Нарешті нормальна озвучка 🎉,,,,,
Бус типу повнопривідний?,,,,,
у моего папы была такая  она была во чень хорошом состянии и мв ие продали тоже за 1 к но вложена вние намного больше,,,,,
О новий відос імба,,,,,
Нове відео дуже цікаве❤,,,,,
прикольне відео,,,,,
2:02 Ну я ще у тому дописі казав же що це Nissan валета а ви  не вірили,nissan,nissan,nissan,nissan,nissan
"Давайте на цьому бусі 🚌 1,000 км до моря 🌊",,,,,
"Як я цього чекав, незатримуйте наступну серію бо вже всі в очікуванні❤",,,,,
За 3000$ уйдёд/2800,,,,,
класний проект!,,,,,
Це той контент що я шукав роками),,,,,
"Відео супер,чекаю другу серію з нетерпінням p.s наклейка не тцк обовязково😅",ps,ps,ps,ps,ps
"""не великі навички?"" не вірю!",,,,,
ого 100 доларів в мене хата 100 доларів в місять,,,,,
Це найцікавіший випуск. Дивимось випуски всією сімʼєю і дуже чекаємо другої частини🔥🔥🔥,,,,,
додай надпис (НЕ ТЦК),,,,,
Двигун помий буде гарніше,,,,,
"Лайфхак: спробуй очищення бітуму звичайною соняшниковою олією, результат тебе здивує і не треба ніякої хімії.",,,,,
роби більше відео по цій автівці,,,,,
тцк прогресирує,,,,,
👍👍👍,,,,,
"Скоро знімеш ті лампочки зверху, до першого патруля.Це  додатково встановлене світло не передбачене конструцією тз",,,,,
Я хребу за лобовушка майже 10 к гривень відати я би ліпше сам би замінив там немає такого тяжкогг,,,,,
Дякую за відео дууууууже класне можна другу частину,,,,,
Даже цікаво ! Не зупиняйтесь хлопці !!!,,,,,
"Подивись мотор клапана, поршні та почисти мотор та заполіруй",,,,,
коли 2 серіяяяяяяяяя,,,,,
красава гарна ідея,,,,,
Тачка на прокачку,,,,,
"14:04 та хто ж так губкою миє, фарбу подряпаєш",,,,,
Чекаю не можу дочикатися нового відео коли 2 серія?,,,,,
"Невже грошей так мало було на купівлю такого буса, як же трейдинг і активи, ну то в принципі таке, інша сфера 😅",,,,,
Відосик кайф повний,,,,,
Класс так тримати,,,,,
я чекаю наступні серії,,,,,
Колись я обгоню вас,,,,,
"1:48 ех, весь кайф обламали 😅",,,,,
надіюсь що бус не зламається,,,,,
Лайк за видос и роботу молодец,,,,,
Я дивлюся а тут 5 годин тому відео було зроблено🎉,,,,,
"Кайф , давай продовження , можу попросити довші відоси?)",,,,,
круто вийшло👍,,,,,
22:26 Машина часу з Ніссана?,,,,,
Молодець 😊😊😊 так Тримати 👍,,,,,
краска на дисках слезет,,,,,
"Класна історія жаль брехня, це їх норм ціна без проблем з штрафами",,,,,
Чекаєм продовження!😊,,,,,
Я теж їжджу бусом іскажу супер ❤,,,,,
"продолжай, очень нрав.",,,,,
12:30 - ніби то комар над вухом о третій годині ночі,,,,,
"Ого, оце так проект, дякую за класний відос",,,,,
"5:31 опалачужмо проїзд!
😂😂😂",,,,,
"Норм, я і сам би такий взяв за 1000$)",,,,,
"19:50
старі виглядали краще бо вони більші",,,,,
Поскоріше б продовження,,,,,
Його посмішка надихає❤,,,,,
х зибит ты ли это?,,,,,
Можна 2 частину,,,,,
14:14 бітум добре вд 40 розчинняє.,,,,,
Мотор LD20?,ld,ld,ld,ld,ld
Дуже круто із задоволеням чекаю продовженя,,,,,
"Гарна робота! Дуже цікавий контент, жду продовження :)",,,,,
"Гарний проєкт, цікаво тільки чому ви не включили ціну штрафу до суми?",,,,,
Дуже класне відео ❤ хотів якусь пораду порадити але ще не придумав,,,,,
крутой формат )) жду продолжение,,,,,
"2:25 не живуть, бо насіння б вже там не було б😅",,,,,
Ремонт і оснащення буса називається - бусифікація.,,,,,
Бус з села Матеївці Коломийський район,,,,,
"""Perfect🎉"", - написав я на початку, але додивившись до кінця - це просто неймовірно!",perfect,perfect,perfect,perfect,perfect
Стало краще ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,,,,,
поки що виглядає реально класно і дуже прошу афтора щоб надалі все було так само круто а не зробити в салоні якийсь колхоз,,,,,
"Годноту підвезли! Тільки чел, давай хоч раз в тиждень відос новий!",,,,,
"На завершенні даного ролика, влаштуйте оргію, буде цікаво на скільки гарно все вийшло, тому обов'язково запишіть собі в блокнотик 😏",,,,,
Відео свіжіше за хліб в пекарні,,,,,
влаштувався в тцк ігор як так,,,,,
Давайте продолжение молодцы,,,,,
"Не забудь добавити табличку ""НЕ ТЦК"" 😅",,,,,
"Класний бус, поки я просто моніторю бус на олх під автодім, ви беретеьі робите) молодці",,,,,
Японія і Китай співпрацює з Росією,,,,,
Коли буде друга половина,,,,,
Гарна тачка. для подорожі і для військових супер.,,,,,
"Але такі відео очі радують коли дають 2-ге життя автомобілю, Красавчик💪",,,,,
А чому не додали штрафи?,,,,,
